"","leima","kirjatlaani","kansallisuus","perheen_toimeentulo","sukupuoli","siviilisaaty"
"23692","00000000000B7B20","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23693","000000000009E2C6","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23694","00000000000A7968","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23695","00000000000B8598","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23696","00000000000F16E1","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23697","00000000000B9A57","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23698","000000000009A3C6","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23699","00000000000EA463","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23700","0000000000096074","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23701","000000000014442D","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23702","0000000000082DA6","Oulun lääni","","Muu","Mies","Naimisissa"
"23703","00000000000B236B","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23704","00000000000AC1AD","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23705","00000000000E091D","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23706","00000000000E6192","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23707","00000000000B44F1","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23708","00000000001513D2","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23709","00000001003C3754","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23710","00000001002C39DA","Kuopion lääni","","","Mies","Naimaton"
"23711","00000001002C39DD","Kuopion lääni","","","Mies","Naimaton"
"23712","00000001002C39E0","Kuopion lääni","","","Mies","Naimaton"
"23713","00000000000CF6EF","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23714","00000000000C8248","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23715","0000000000140146","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23716","00000000000729BA","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23717","00000001002C39EF","Kuopion lääni","","","Mies","Naimaton"
"23718","00000000000D121D","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23719","000000000009D40A","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23720","00000000000ECA42","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23721","00000000000BB418","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23722","000000000011179D","Oulun lääni","","Ei tietoa","Mies","Naimaton"
